state,district,soil_type,season,irrigation_available,land_area,climate_zone,label_crop
Gujarat,Vadodara,Sandy,Zaid,0,15.2,Semi-arid,Groundnut
Gujarat,Rajkot,Alluvial,Kharif,1,17.8,Semi-arid,Maize
Karnataka,Bangalore Rural,Clay,Rabi,1,24.8,Semi-arid,Wheat
Karnataka,Gulbarga,Laterite,Kharif,1,15.5,Semi-arid,Groundnut
Gujarat,Rajkot,Laterite,Zaid,0,11.9,Semi-arid,Groundnut
Gujarat,Junagadh,Black,Zaid,1,23.6,Arid,Sunflower
Karnataka,Belgaum,Red,Kharif,1,6.4,Semi-arid,Groundnut
Maharashtra,Solapur,Loamy,Zaid,0,6.8,Arid,Sunflower
Karnataka,Hubli,Laterite,Rabi,1,21.1,Semi-arid,Gram
Karnataka,Bangalore Rural,Clay,Zaid,0,2.7,Semi-arid,Groundnut
Maharashtra,Satara,Sandy,Kharif,1,20.8,Humid,Groundnut
Maharashtra,Pune,Sandy,Zaid,1,0.9,Semi-arid,Groundnut
Maharashtra,Nagpur,Loamy,Zaid,1,17.9,Sub-humid,Sunflower
Gujarat,Junagadh,Red,Zaid,1,22.9,Arid,Sunflower
Karnataka,Belgaum,Loamy,Zaid,1,16.8,Semi-arid,Sunflower
Karnataka,Mysore,Alluvial,Kharif,1,24.3,Humid,Rice
Maharashtra,Nashik,Loamy,Zaid,1,1.5,Semi-arid,Sunflower
Karnataka,Hubli,Laterite,Kharif,1,22.4,Semi-arid,Groundnut
Maharashtra,Solapur,Laterite,Rabi,1,15.3,Arid,Onion
Maharashtra,Nagpur,Sandy,Zaid,1,4.4,Sub-humid,Groundnut
Maharashtra,Satara,Black,Kharif,0,20.2,Humid,Cotton
Karnataka,Mysore,Red,Zaid,0,8.3,Humid,Groundnut
Maharashtra,Aurangabad,Clay,Kharif,0,21.6,Semi-arid,Rice
Gujarat,Ahmedabad,Clay,Kharif,1,7.1,Arid,Rice
Gujarat,Ahmedabad,Laterite,Kharif,1,6.7,Arid,Groundnut
Gujarat,Surat,Alluvial,Kharif,1,24.9,Humid,Maize
Karnataka,Hubli,Laterite,Rabi,1,9.0,Semi-arid,Onion
Karnataka,Hubli,Sandy,Rabi,0,6.4,Semi-arid,Onion
Gujarat,Rajkot,Black,Zaid,0,12.0,Semi-arid,Sunflower
Karnataka,Mysore,Loamy,Kharif,1,13.0,Humid,Sunflower
Gujarat,Vadodara,Laterite,Zaid,1,17.9,Semi-arid,Groundnut
Gujarat,Vadodara,Black,Kharif,1,13.2,Semi-arid,Jowar
Gujarat,Vadodara,Black,Kharif,1,13.8,Semi-arid,Soybean
Gujarat,Vadodara,Red,Kharif,1,6.9,Semi-arid,Tur
Karnataka,Bangalore Rural,Sandy,Kharif,0,5.1,Semi-arid,Groundnut
Gujarat,Rajkot,Laterite,Rabi,0,16.2,Semi-arid,Sunflower
Karnataka,Bangalore Rural,Clay,Zaid,1,23.5,Semi-arid,Onion
